Estado,Municipio,Bairro,Produto,Data da Coleta,Valor de Venda,Unidade de Medida,5%,8%,10%
SP,ARARAQUARA,JARDIM MARIVAN,GASOLINA,2022-05-04,6.779,R$ / litro,0.33895000000000003,0.54232,0.6779000000000001
SP,ARARAQUARA,SANTANA,GASOLINA,2022-05-04,6.8,R$ / litro,0.34,0.544,0.68
SP,ARARAQUARA,CENTRO,GASOLINA,2022-05-04,6.899,R$ / litro,0.34495000000000003,0.55192,0.6899000000000001
SP,ARARAQUARA,JD ROBERTO SELMI DEI,GASOLINA,2022-04-04,6.779,R$ / litro,0.33895000000000003,0.54232,0.6779000000000001
SP,ATIBAIA,CAETETUBA,GASOLINA,2022-06-04,6.609,R$ / litro,0.33045,0.52872,0.6609
SP,ATIBAIA,RESSACA,GASOLINA,2022-06-04,7.099,R$ / litro,0.35495000000000004,0.56792,0.7099000000000001
SP,ATIBAIA,ALVINOPOLIS,GASOLINA,2022-06-04,7.097,R$ / litro,0.35485000000000005,0.56776,0.7097000000000001
SP,ATIBAIA,ATIBAIA JARDIM,GASOLINA,2022-06-04,7.199,R$ / litro,0.35995,0.57592,0.7199
SP,ATIBAIA,CENTRO,GASOLINA,2022-06-04,6.999,R$ / litro,0.34995,0.55992,0.6999
SP,ATIBAIA,ALVINOPOLIS,GASOLINA,2022-06-04,6.85,R$ / litro,0.3425,0.5479999999999999,0.685
SP,ATIBAIA,JARDIM CEREJEIRAS,GASOLINA,2022-06-04,6.699,R$ / litro,0.33495,0.53592,0.6699
SP,ATIBAIA,CAETETUBA,GASOLINA,2022-06-04,7.12,R$ / litro,0.35600000000000004,0.5696,0.7120000000000001
SP,ATIBAIA,RESSACA,GASOLINA,2022-06-04,6.599,R$ / litro,0.32995,0.5279200000000001,0.6599
SP,ATIBAIA,ALVINOPOLIS,GASOLINA,2022-06-04,7.297,R$ / litro,0.36485,0.58376,0.7297
SP,ATIBAIA,VILA MASSONI,GASOLINA,2022-06-04,6.599,R$ / litro,0.32995,0.5279200000000001,0.6599
SP,AVARE,JARDIM SÃO PAULO,GASOLINA,2022-07-04,6.899,R$ / litro,0.34495000000000003,0.55192,0.6899000000000001
