Valor de Venda
7.059
6.99
6.97
6.899
6.999
6.879
6.999
6.999
6.899
6.999
6.999
6.97
6.879
6.999
6.979
7.109
6.999
6.879
6.879
6.849
6.9
6.999
6.999
6.949
6.68
6.74
6.99
6.89
6.899
6.799
6.889
6.999
6.95
6.779
6.779
6.399
7.149
6.779
6.999
6.779
6.779
6.8
6.899
6.779
6.609
7.099
7.097
7.199
6.999
6.85
6.699
7.12
6.599
7.297
6.599
6.899
6.899
6.899
6.899
6.97
6.69
6.699
6.15
6.359
6.799
6.899
6.379
6.899
6.799
6.899
6.479
6.799
6.799
6.699
6.599
6.699
6.699
6.799
6.989
6.899
7.099
7.099
7.094
7.099
6.849
7.359
6.95
6.849
6.799
6.999
6.689
6.899
6.699
6.888
6.749
6.699
6.999
6.64
6.699
6.699
6.899
6.899
6.988
6.698
6.899
6.899
6.898
6.999
6.999
6.899
7.02
7.499
7.298
7.397
6.899
6.799
6.879
6.899
7.049
6.389
6.93
6.999
6.899
6.799
6.899
6.999
6.899
6.799
7.369
7.239
6.899
7.099
6.899
6.99
6.799
7.099
7.099
7.199
6.879
6.999
6.899
6.699
6.899
6.699
6.799
6.799
6.799
7.199
7.199
6.649
6.899
6.999
6.899
7.199
6.659
6.699
6.389
6.699
6.799
6.799
6.699
6.659
7.299
6.888
6.888
6.999
6.99
7.399
7.346
7.429
7.649
6.499
6.549
6.999
6.549
6.899
6.999
7.199
6.899
6.999
6.699
6.92
7.299
7.299
7.299
7.299
6.89
7.379
7.379
7.399
7.359
7.399
6.999
6.899
6.899
6.899
6.799
6.999
6.75
6.999
6.749
6.979
6.995
6.699
6.799
6.69
6.799
6.99
6.999
6.995
7.05
6.699
6.999
6.799
6.699
6.799
6.899
7.15
6.999
6.699
6.989
6.989
6.879
6.57
6.99
6.679
6.779
6.769
6.579
6.999
6.99
6.999
6.989
6.579
6.899
6.798
6.998
6.499
6.899
6.999
6.799
6.699
6.599
6.799
6.879
6.799
6.999
6.999
6.799
6.899
6.897
6.579
6.899
7.099
6.999
7.199
6.999
6.899
6.549
6.899
6.847
7.289
6.969
7.299
6.999
6.979
7.399
6.98
6.799
6.749
6.999
6.7
7.03
7.399
6.999
6.95
7.099
6.499
7.259
6.799
6.699
6.599
6.699
6.897
6.699
6.899
6.699
6.999
6.699
6.59
6.99
7.199
7.098
6.849
7.099
6.499
6.599
6.699
6.889
6.939
6.999
6.599
6.699
6.999
6.699
6.677
6.399
6.759
6.899
6.899
6.759
6.799
6.999
6.899
6.799
6.979
6.799
6.79
6.659
6.798
6.479
6.499
6.674
6.699
6.799
6.799
6.899
6.879
6.899
6.499
6.799
6.799
6.749
6.899
6.989
6.599
6.599
6.797
6.797
6.599
6.699
7.05
6.899
6.79
6.899
6.899
6.899
7.09
6.999
7.399
6.899
6.899
6.999
6.689
6.999
6.999
6.999
6.777
6.699
6.999
6.799
6.499
6.799
6.999
6.99
6.999
6.897
6.899
6.899
7.299
7.098
6.899
7.389
7.099
7.199
7.198
6.594
6.769
6.989
6.989
7.52
7.199
6.599
6.797
6.299
6.999
7.399
7.299
6.649
6.78
7.019
6.989
6.64
6.699
6.799
6.699
6.699
6.449
6.789
6.859
6.699
6.699
6.699
6.699
6.799
6.899
6.649
6.799
6.599
6.699
6.879
6.699
6.899
6.599
6.899
7.099
6.799
6.899
6.469
7.199
8.399
7.299
7.099
6.999
6.999
6.399
6.899
6.999
6.999
6.899
7.099
6.598
6.6
6.599
7.499
6.79
7.599
6.999
7.399
7.299
7.299
6.899
7.299
6.399
6.999
7.149
7.199
6.899
6.999
7.399
6.799
7.999
7.299
7.299
6.699
7.299
7.299
6.599
6.499
6.799
6.999
6.489
6.999
6.399
6.599
6.899
6.589
6.999
6.799
7.199
7.299
7.799
6.589
6.949
6.899
6.998
6.699
6.999
7.399
6.89
6.999
7.099
6.599
6.999
6.799
6.569
7.199
7.299
6.699
6.499
6.648
6.799
7.299
6.889
6.499
8.399
7.299
7.299
7.469
7.199
6.479
6.899
6.879
6.999
8.499
6.999
6.799
7.299
6.799
7.699
6.399
6.449
6.599
6.499
7.299
7.199
6.999
6.899
6.389
6.999
7.186
6.999
7.199
6.699
6.669
6.549
6.549
7.199
7.199
7.09
6.999
6.99
6.97
6.96
6.979
6.759
6.779
6.479
6.899
6.899
6.799
6.799
6.799
6.499
6.799
6.799
6.579
6.769
6.499
6.999
6.799
6.899
6.899
6.599
6.999
6.999
6.899
6.899
6.479
7.399
6.699
6.999
6.559
6.949
6.699
6.579
6.599
6.849
7.149
6.549
6.599
6.877
6.599
6.799
6.757
6.899
6.799
6.899
6.799
6.799
6.899
6.699
6.999
6.99
6.99
6.959
6.597
6.99
6.649
6.799
6.699
6.897
6.579
6.899
6.579
6.597
6.899
6.699
7.399
6.999
6.699
6.899
6.989
6.999
6.899
6.899
6.999
6.989
6.999
6.499
6.899
6.699
6.699
7.175
6.499
6.699
6.589
6.976
7.399
7.399
6.999
6.477
6.489
7.299
7.399
7.299
7.299
7.399
7.399
6.699
7.279
7.699
7.099
6.899
7.299
7.689
7.499
6.99
6.479
6.999
6.999
6.999
6.599
6.699
7.059
6.989
6.999
6.93
6.99
7.139
6.879
6.999
6.899
6.88
6.87
6.999
7.299
6.999
6.899
6.999
6.99
6.999
6.797
6.997
6.797
6.897
6.679
6.599
6.797
6.699
6.749
6.699
6.697
6.899
6.599
6.599
6.699
6.899
6.599
6.679
6.899
6.699
6.557
6.699
6.679
6.799
6.799
6.899
6.649
6.897
6.679
6.099
6.899
6.999
6.799
6.659
6.799
6.897
6.87
6.677
6.799
6.599
6.597
6.999
6.597
6.697
6.649
6.899
6.999
6.799
6.899
6.799
6.995
6.899
6.939
6.939
6.939
6.919
6.939
6.939
6.999
6.859
6.799
6.919
6.939
6.99
6.799
